,subject_id,relation,object_id,question,subject_name,object_name,qid,topic_words,topic_words_names,golden_word,golden_word_name,word_score,type,type_name
0,/m/04whkz5,/book/written_work/subjects,/m/01cj3p,what is the book e about,E,Spiritualism,0,"[u'/m/025263', u'/m/05bf6x', u'/m/07qksb', u'/m/027tzzf', u'/m/03cpccv', u'/m/0bhbcp5', u'/m/06cqb', u'/m/03gymy', u'/m/030jgd', u'/m/01xj3', u'/m/04whkz5']","[u'Hepatitis E', u'E 311', u'E Street', u'Sokoli e Mirusha', u'Paulo e Virginia', u'Emmanuel E Ikwue', u'Reggae', u'Edgar Renter\xeda', u'Systems science', u'Charlotte Bront\xeb', u'E']",/m/04whkz5,E,"[0.754423, 0.75, 0.75, 0.666667, 0.666667, 0.666667, 0.002717, 0.002625, 0.002625, 0.002231, 2.0]",/m/01xryvm,Book
1,/m/0tp2p24,/music/release_track/release,/m/0sjc7c1,to what release does the release track cardiac arrest come from,Cardiac Arrest,Complete Madness,1,"[u'/m/0mn29_b', u'/m/0mlbwn0', u'/m/0mhp9cn', u'/m/0kn7___', u'/m/0mbf3hw', u'/m/0lntgk_', u'/m/0zskrtr', u'/m/0zsb06_', u'/m/0d7w7t', u'/m/01mz87', u'/m/0tp2p24']","[u'Cardiac Arrest', u'Cardiac Arrest', u'Cardiac Arrest', u'Cardiac Arrest', u'Cardiac Arrest', u'Cardiac Arrest', u'Cardiac Arrest', u'Cardiac Arrest', u'House Arrest', u'Cardiac tamponade', u'Cardiac Arrest']",/m/0tp2p24,Cardiac Arrest,"[1.000042, 1.000042, 1.000042, 1.000042, 1.000042, 1.000042, 1.0, 1.0, 0.5, 0.5, 2.0]",,
2,/m/04j0t75,/film/film/country,/m/07ssc,what country was the film the debt from,The Debt,United Kingdom,2,"[u'/m/0ldpjkx', u'/m/0n3dw9h', u'/m/0142r71', u'/m/0x9h10q', u'/m/0zpqc9x', u'/m/03fhg0h', u'/m/04ypyym', u'/m/08rp_7', u'/m/0dvb7j', u'/m/0gkr2fd', u'/m/04j0t75']","[u'The Invasion', u'The Game', u'The Blob', u'The Tournament', u'The Heat', u'The Blackening', u'The Notebook', u'The Magus', u'The Reach', u'The Firefly', u'The Debt']",/m/04j0t75,The Debt,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]",/m/0jsg2m,Film
3,/m/0ftqr,/music/producer/tracks_produced,/m/0p600l,what songs have nobuo uematsu produced?,Nobuo Uematsu,The Oath,3,"[u'/m/0ftqr', u'/m/0h1gcl5', u'/m/027djy5', u'/m/0h3pqbk', u'/m/0g7xbqq', u'/m/03cln4d', u'/m/065rtcs', u'/m/0g57d_l', u'/m/0c78nb', u'/m/03q627']","[u'Nobuo Uematsu', u'Nobuo Sekine', u'Nobuo Tanaka', u'Nobuo Serizawa', u'Nobuo Mizuta', u'NoB', u'Nobuo Kaneko', u'Nobuo Suga', u'Nobuo Sat\u014d', u'Nobuo Tobita']",/m/0ftqr,Nobuo Uematsu,"[1.999895, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",/m/0kpysb,Composer
4,/m/036p007,/music/release/producers,/m/0677ng,Who produced eve-olution?,Eve-Olution,Swizz Beatz,4,"[u'/m/01knvq6', u'/m/036p007', u'/m/04cjlrq', u'/m/04cjlrh', u'/m/034l2mx', u'/m/01knvnx']","[u'Eve-Olution', u'Eve-Olution', u'Eve-Olution', u'Eve-Olution', u'Eve-Olution', u'Eve-Olution']",/m/036p007,Eve-Olution,"[1.298361, 1.003279, 1.003279, 1.003279, 1.003279, 1.003279]",/m/03h314x,Consumer product
5,/m/0ms5mg,/music/recording/artist,/m/0mjn2,Which artist recorded most of us are sad?,Most of Us Are Sad,Eagles,5,"[u'/m/0qbyjmm', u'/m/0lb6v3_', u'/m/01dp4vn', u'/m/0dwm3m8', u'/m/0f5mcql', u'/m/0192ssn', u'/m/08z_2h7', u'/m/031q7nd', u'/m/0dnc58_', u'/m/0dr0pl0', u'/m/0ms5mg']","[u'Us', u'Us', u'Us', u'Us', u'Us', u'Us', u'US', u'Us', u'Us', u'Us', u'Most of Us Are Sad']",/m/0ms5mg,Most of Us Are Sad,"[0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 0.6, 2.0]",/m/0kpv11,Musical Recording
6,/m/086k8,/film/production_company/films,/m/0278x5r,what movie is produced by warner bros.,Warner Bros. Entertainment,Saving Shiloh,6,"[u'/m/0fx73yj', u'/m/0_6dgnc', u'/m/0gbwrjc', u'/m/0cwy1v', u'/m/0w7np0w', u'/m/045ghf', u'/m/05ybkx6', u'/m/03cq2l6', u'/m/05v5hk', u'/m/02vmzs8', u'/m/086k8']","[u'?', u'Trust?', u'John Warner', u'Warner Sallman', u'John Warner', u'Warner Center', u'Francis Warner', u'Warner Parks', u'Silas Warner', u'Norman Warner', u'Warner Bros. Entertainment']",/m/086k8,Warner Bros. Entertainment,"[0.666667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 2.0]",/m/03w5clp,Production company
7,/m/02vnx8y,/common/topic/notable_types,/m/01xljrf,What is don graham known as?,Don Graham,American Football player,7,"[u'/m/0kvc4q', u'/m/0dw3w3', u'/m/0vn_b3s', u'/m/06wmfc', u'/m/026n92r', u'/m/0297f', u'/m/02q9w05', u'/m/05x35q', u'/m/0gy266_', u'/m/0g57v34', u'/m/02vnx8y']","[u'Don', u'Don Knabe', u""Don 'Bud'Connor"", u'Don Geronimo', u'Ronny Graham', u'Don Quijote de la Mancha', u'Don Brumm', u'Don Francks', u'James Graham', u'Graham Boynton', u'Don Graham']",/m/02vnx8y,Don Graham,"[0.75, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 2.0]",/m/01xljrf,American Football player
8,/m/01smm,/travel/travel_destination/tourist_attractions,/m/0328cp,what's there to see in columbus,Columbus,Nationwide Arena,8,"[u'/m/0245s53', u'/m/0nq8hy', u'/m/0mf8yj5', u'/m/0fxb1c1', u'/m/07ms0_6', u'/m/0485lqk', u'/m/0_jc4ln', u'/m/0vq6x', u'/m/05zmcfx', u'/m/0v2z5cd', u'/m/01smm']","[u'Columbus', u'Columbus', u'Columbus', u'Columbus', u'Columbus', u'Columbus', u'Columbus', u'Columbus Township', u'Battle of Columbus', None, u'Columbus']",/m/01smm,Columbus,"[1.000003, 1.000001, 1.000001, 1.000001, 1.000001, 1.000001, 1.0, 0.005231, 0.003533, 1e-06, 2.0]",/m/01m9,City/Town/Village
9,/m/0mgb6cl,/music/release_track/release,/m/0f4zk3j,What album was tibet released on,Tibet,Balls to Picasso,9,"[u'/m/06s0ft4', u'/m/0kpkqzd', u'/m/0dpcww_', u'/m/0dykf8r', u'/m/0v__y8l', u'/m/0l1rc9_', u'/m/0l9g_lz', u'/m/0k_3nt2', u'/m/0lgvmhd', u'/m/0248b2q', u'/m/0mgb6cl']","[u'Tibet', u'Tibet', u'Tibet', u'Tibet', u'Tibet', u'Tibet', u'Tibet', u'Tibet', u'Tibet', u'Tibet', u'Tibet']",/m/0mgb6cl,Tibet,"[1.001466, 1.000029, 1.00001, 1.000005, 1.000005, 1.000005, 1.000005, 1.000005, 1.000005, 1.000005, 2.0]",,
10,/m/02dtg,/location/location/people_born_here,/m/01s8mcb,who is a musician born in detroit,Detroit,J.Moss,10,"[u'/m/04bv9p8', u'/m/0ds65_d', u'/m/01x36wf', u'/m/0m_g29b', u'/m/0fdp4yb', u'/m/0tmn4w', u'/m/0n79vw8', u'/m/0g6c149', u'/m/0y9x8gp', u'/m/02xsc2', u'/m/02dtg']","[u'Detroit', u'Detroit', u'Detroit', u'Detroit', u'Detroit', u'Detroit', u'Detroit', u'Detroit', u'Detroit', u'The Palace of Auburn Hills', u'Detroit']",/m/02dtg,Detroit,"[1.000007, 1.000005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.499978, 2.0]",/m/01m9,City/Town/Village
11,/m/0275d7v,/music/artist/origin,/m/052bw,Which city did the artist ryna originate in,RYNA,Manchester,11,"[u'/m/0275d7v', u'/m/0crxrth', u'/m/06fz_']","[u'RYNA', u'Ryna', u'Rhine']",/m/0275d7v,RYNA,"[1.430118, 1.000415, 0.569452]",/m/0kpv1m,Musical Artist
12,/m/0ds46xp,/film/film/produced_by,/m/0qdwr,who produced the film rough house rosie,Rough House Rosie,Adolph Zukor,12,"[u'/m/04p5cr', u'/m/06_q5_w', u'/m/012lb5', u'/m/0jwgmyt', u'/m/06_j00q', u'/m/0dr9d5n', u'/m/06618x0', u'/m/06_h74b', u'/m/01xll_j', u'/m/06_90t2', u'/m/0ds46xp']","[u'House', u'Reese-Johnson-Virgin House', u'Rough Riders', u'Haunted House', u'Baer House', u'House Anthems', u'Leggett House', u'Garneau-Kilpatrick House', u'Bonnet House', u""Rogers-O'Daniel House"", u'Rough House Rosie']",/m/0ds46xp,Rough House Rosie,"[0.666667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 0.416667, 2.0]",/m/0jsg2m,Film
13,/m/0hzqmtk,/film/film/language,/m/03k50,what is the language in which mera shikar was filmed in,Mera Shikar,Hindi Language,13,"[u'/m/0bck66', u'/m/0jkzdnm', u'/m/0gh757f', u'/m/0h703rh', u'/m/02r4ls1', u'/m/06_50n', u'/m/0crt3rn', u'/m/05b3mhb', u'/m/0crtlf4', u'/m/05ydfz', u'/m/0hzqmtk']","[u'Mera Peak', u'Mera Dharam', u'Mera Lahoo', u'Mera Saathi', u'Chori Mera Kaam', u'Mera Naam Joker', u'Mera Karam Mera Dharam', u'Mera Desh Mera Dharam', u'Ek Se Mera Kya Hoga', u'Agust\xedn D\xedaz de Mera Garc\xeda Consuegra', u'Mera Shikar']",/m/0hzqmtk,Mera Shikar,"[0.5, 0.5, 0.5, 0.5, 0.416667, 0.416667, 0.375, 0.375, 0.35, 0.333333, 2.0]",/m/0jsg2m,Film
